%Frequency (Hz)	S1,1 Mag 	S1,1 u(Mag) 	S1,1 Phase (°)	S1,1 u(Phase) (°)	S2,1 Mag 	S2,1 u(Mag) 	S2,1 Phase (°)	S2,1 u(Phase) (°)	S1,2 Mag 	S1,2 u(Mag) 	S1,2 Phase (°)	S1,2 u(Phase) (°)	S2,2 Mag 	S2,2 u(Mag) 	S2,2 Phase (°)	S2,2 u(Phase) (°)
779439166.666667000	0.485451130	0.001462672	-166.291164472	0.182624621	0.850982842	0.002195888	106.438972826	0.158946943	0.851000691	0.002195916	106.436260934	0.158945945	0.485568613	0.001453800	-161.129703110	0.181734380
793605333.333333000	0.494740757	0.001458638	-170.197182330	0.179704435	0.845254161	0.002175331	102.423505373	0.158571921	0.845302353	0.002175452	102.420966322	0.158571382	0.494893548	0.001440115	-165.032249469	0.177453296
807771500.000000000	0.501545563	0.001430749	-174.068278057	0.174290966	0.840817302	0.002180731	98.456465354	0.159930174	0.840828998	0.002180757	98.454763695	0.159930264	0.501732681	0.001415326	-168.887616142	0.172477230
821937666.666667000	0.505995252	0.001422116	-177.928895522	0.172349182	0.837698328	0.002207733	94.515006965	0.162734114	0.837716902	0.002207772	94.511573342	0.162732418	0.506200113	0.001424413	-172.717629806	0.172685354
836103833.333333000	0.508152311	0.001423877	178.223194653	0.172121859	0.835778394	0.002195279	90.595702181	0.162282115	0.835800610	0.002195321	90.591913161	0.162282035	0.508373838	0.001432505	-176.515760860	0.173156953
850270000.000000000	0.508108326	0.001387393	174.382674871	0.167766535	0.835223455	0.002160829	86.682733729	0.160012170	0.835225258	0.002160868	86.678761124	0.160013410	0.508367734	0.001388760	179.710557681	0.167882325
864436166.666667000	0.505737558	0.001351174	170.538452906	0.164177223	0.835978716	0.002156258	82.764049762	0.159825917	0.835996209	0.002156333	82.761640430	0.159828353	0.506046245	0.001353901	175.950282770	0.164391522
878602333.333333000	0.500990619	0.001376275	166.675862038	0.168739718	0.838035497	0.002171816	78.826193714	0.160890353	0.838050321	0.002171881	78.822988085	0.160891694	0.501363466	0.001388987	172.197440107	0.170133796
892768500.000000000	0.493811140	0.001447636	162.781003740	0.179901927	0.841428487	0.002174264	74.863963718	0.160739043	0.841427719	0.002174291	74.859973245	0.160741167	0.494263900	0.001458529	168.443031913	0.181085022
906934666.666667000	0.484028790	0.001473078	158.835014669	0.186601065	0.846138086	0.002173759	70.860718019	0.160196127	0.846138378	0.002173799	70.857381550	0.160197932	0.484563458	0.001479449	164.668649711	0.187011738
921100833.333333000	0.471651152	0.001462663	154.828647369	0.189249471	0.852077799	0.002182844	66.798270179	0.160159984	0.852093107	0.002182884	66.796182054	0.160160628	0.472295223	0.001469716	160.862840938	0.189627671
935267000.000000000	0.456765481	0.001474169	150.749462223	0.196141060	0.859026281	0.002186872	62.669520481	0.159609073	0.859056085	0.002186924	62.663532658	0.159607511	0.457534903	0.001485281	157.015205622	0.196984053
949433166.666667000	0.439418783	0.001506375	146.586293552	0.207366583	0.866924764	0.002173920	58.465767447	0.157711060	0.866942516	0.002173954	58.461226434	0.157710413	0.440280775	0.001522393	153.120897560	0.208752200
963599333.333333000	0.419388106	0.001514169	142.343161489	0.216886598	0.875663842	0.002156203	54.176362405	0.155438867	0.875703274	0.002156327	54.173366355	0.155440608	0.420365412	0.001539561	149.194917698	0.219817093
977765500.000000000	0.396617930	0.001521297	138.024292162	0.228727299	0.884932208	0.002151796	49.793542689	0.154095157	0.884971230	0.002151913	49.790010874	0.154096387	0.397711729	0.001559320	145.250629952	0.233789003
991931666.666667000	0.371077032	0.001541703	133.622029694	0.247066507	0.894657112	0.002200190	45.312474902	0.156469024	0.894683886	0.002191517	45.310218119	0.155473006	0.372334984	0.001621780	141.302816948	0.258449707
1006097833.333330000	0.342483702	0.001645081	129.115092876	0.283977346	0.904670764	0.002156853	40.729566364	0.152374345	0.904719791	0.002156965	40.726007589	0.152373591	0.343946090	0.001676680	137.371014008	0.287892463
1020264000.000000000	0.310753907	0.001680900	124.512739638	0.317985230	0.914703889	0.002151462	36.037920525	0.151036299	0.914744524	0.002151549	36.033494249	0.151036068	0.312497722	0.001715809	133.509800558	0.322397973
1034430166.666670000	0.276201254	0.001698383	119.812351935	0.358938701	0.924395902	0.002149003	31.236822978	0.150005112	0.924440267	0.002149108	31.233712821	0.150005007	0.278334742	0.001739723	129.772190004	0.364777934
1048596333.333330000	0.239113314	0.001734515	115.016008683	0.421475267	0.933434710	0.002141747	26.332573692	0.148784958	0.933468512	0.002141821	26.328769343	0.148785104	0.241762440	0.001778055	126.271523109	0.427206587
1062762500.000000000	0.199650795	0.001772296	110.165346802	0.513684645	0.941509487	0.002123975	21.338530787	0.147053382	0.941536513	0.002124036	21.333493921	0.147053358	0.203012875	0.001815411	123.252643344	0.517443029
1076928666.666670000	0.158065740	0.001793760	105.308075224	0.653927170	0.948314502	0.002107424	16.254166399	0.145600099	0.948345071	0.002107492	16.249619091	0.145600139	0.162531458	0.001842851	121.178722963	0.653704406
1091094833.333330000	0.114813491	0.001815669	100.561232684	0.908635968	0.953546491	0.002103185	11.105052710	0.145120736	0.953577695	0.002103253	11.101148440	0.145120694	0.121135712	0.001859184	121.151753629	0.881989215
1105261000.000000000	0.070330721	0.001835892	96.290588818	1.496928448	0.957034848	0.002100770	5.909154450	0.144950885	0.957059721	0.002100825	5.905488984	0.144950916	0.080499352	0.001874785	126.492915306	1.335932540
1119427166.666670000	0.024951011	0.001843813	95.374631238	4.236549697	0.958610203	0.002097912	0.678879133	0.144957317	0.958628721	0.002097952	0.674907392	0.144957324	0.046666663	0.001883975	150.019452516	2.314785096
1133593333.333330000	0.021423449	0.001840313	-104.163281930	4.920992685	0.958198550	0.002096670	-4.562776800	0.145264132	0.958219632	0.002096715	-4.566582746	0.145264123	0.044910946	0.001880750	-154.896017248	2.400479645
1147759500.000000000	0.066931520	0.001829083	-104.087985160	1.567801250	0.955760779	0.002096777	-9.788849374	0.145858407	0.955809224	0.002096883	-9.793706622	0.145858376	0.077585288	0.001863774	-128.773712459	1.378604738
1161925666.666670000	0.111385514	0.001808360	-108.250814365	0.933141783	0.951463036	0.002101201	-14.984630572	0.146909674	0.951511216	0.002101306	-14.988339445	0.146909720	0.117951579	0.001839260	-122.698296243	0.896631155
1176091833.333330000	0.154423459	0.001784141	-112.953579719	0.666281733	0.945423590	0.002113371	-20.125043846	0.148634129	0.945469422	0.002113472	-20.127412092	0.148634231	0.159101550	0.001812343	-122.460288488	0.657176782
1190258000.000000000	0.195709247	0.001770036	-117.806430561	0.524886200	0.937877572	0.002082779	-25.195822019	0.147408704	0.937901883	0.002181772	-25.200615753	0.154189218	0.199310835	0.001787700	-124.429044089	0.520353383
1204424166.666670000	0.234672806	0.001735762	-122.644905833	0.431264972	0.929137965	0.002130487	-30.184934916	0.152165193	0.929193623	0.002130619	-30.188126453	0.152165509	0.237531044	0.001744307	-127.377491500	0.427967542
1218590333.333330000	0.271085321	0.001666334	-127.407106587	0.360030080	0.919514029	0.002124681	-35.082824961	0.153236499	0.919575672	0.002124822	-35.086317874	0.153236313	0.273404304	0.001677872	-130.803958038	0.359474614
