%Frequency (Hz)	S1,1 Mag 	S1,1 u(Mag) 	S1,1 Phase (°)	S1,1 u(Phase) (°)	S2,1 Mag 	S2,1 u(Mag) 	S2,1 Phase (°)	S2,1 u(Phase) (°)	S1,2 Mag 	S1,2 u(Mag) 	S1,2 Phase (°)	S1,2 u(Phase) (°)	S2,2 Mag 	S2,2 u(Mag) 	S2,2 Phase (°)	S2,2 u(Phase) (°)
1530246000.000000000	0.407134521	0.002300310	-165.402244333	0.424361696	0.909732354	0.001414394	-74.825910850	0.332632356	0.909923104	0.001414655	-74.830738538	0.332630988	0.407201927	0.002300939	-165.363293231	0.406853960
1544412166.666670000	0.413803246	0.002302558	-169.038500211	0.422020792	0.906778814	0.001430151	-78.499638714	0.335310443	0.906942841	0.001430350	-78.504310481	0.335309516	0.413923484	0.002309700	-169.087232886	0.404831497
1558578333.333330000	0.418707847	0.002311921	-172.655033445	0.421571722	0.904619932	0.001438574	-82.148877006	0.337845224	0.904783697	0.001438796	-82.152876198	0.337844463	0.418877385	0.002313410	-172.792618112	0.403452589
1572744500.000000000	0.421820209	0.002318970	-176.248851770	0.421950104	0.903291620	0.001438588	-85.783834313	0.340213883	0.903463381	0.001438857	-85.787702100	0.340213436	0.422021718	0.002317271	-176.476337271	0.403227723
1586910666.666670000	0.423230027	0.002322344	-179.832594823	0.422925542	0.902767574	0.001434295	-89.424936667	0.342488710	0.902943006	0.001434576	-89.428477656	0.342488788	0.423438985	0.002317047	179.850008789	0.403602207
1601076833.333330000	0.422981187	0.002318677	176.594049655	0.424118028	0.902979891	0.001430669	-93.063696488	0.344757692	0.903168758	0.001430972	-93.067176912	0.344757875	0.423207509	0.002316502	176.187188253	0.404903485
1615243000.000000000	0.421075312	0.002314097	173.015534737	0.426137552	0.903932046	0.001431409	-96.703856170	0.347082285	0.904109849	0.001431691	-96.707140903	0.347082202	0.421336758	0.002312627	172.515760718	0.406802205
1629409166.666670000	0.417460575	0.002308211	169.419738756	0.428985600	0.905654740	0.001434456	-100.350105420	0.349425785	0.905830200	0.001434707	-100.356987827	0.349425562	0.417745967	0.002307407	168.819535325	0.409569874
1643575333.333330000	0.412086516	0.002302769	165.804782376	0.432909137	0.908189729	0.001434906	-104.017233627	0.351707219	0.908369999	0.001435174	-104.022968877	0.351706501	0.412385251	0.002302779	165.096580588	0.413484607
1657741500.000000000	0.404994706	0.002296498	162.179218049	0.437832974	0.911457373	0.001428458	-107.707128902	0.353861778	0.911648466	0.001428730	-107.711981085	0.353861313	0.405264895	0.002299037	161.355439397	0.418658416
