%Frequency (Hz)	S1,1 Mag 	S1,1 u(Mag) 	S1,1 Phase (°)	S1,1 u(Phase) (°)	S2,1 Mag 	S2,1 u(Mag) 	S2,1 Phase (°)	S2,1 u(Phase) (°)	S1,2 Mag 	S1,2 u(Mag) 	S1,2 Phase (°)	S1,2 u(Phase) (°)	S2,2 Mag 	S2,2 u(Mag) 	S2,2 Phase (°)	S2,2 u(Phase) (°)
751106833.333333000	0.600302256	0.002306362	-177.424987639	0.227972239	0.788725000	0.002004598	93.852980415	0.156497318	0.788711851	0.002004559	93.851500310	0.156497067	0.599282047	0.002105623	-175.284368787	0.211798291
765273000.000000000	0.603045207	0.002325540	178.597490028	0.229289880	0.786566197	0.002032069	89.855288216	0.159290341	0.786523060	0.002031957	89.853066626	0.159290397	0.601963617	0.002135558	-179.202545747	0.214467683
779439166.666667000	0.602746206	0.002361359	174.642083101	0.233468692	0.786701112	0.002033949	85.864440858	0.159621084	0.786688608	0.002033903	85.861847792	0.159620546	0.601716324	0.002168864	176.902495832	0.218460222
793605333.333333000	0.599490552	0.002355314	170.648684789	0.234356465	0.788877849	0.002017442	81.858358339	0.158107638	0.788861262	0.002017399	81.854868483	0.158106922	0.598523362	0.002155766	172.977512131	0.218547301
807771500.000000000	0.593747526	0.002336128	166.617669379	0.234574530	0.793000817	0.002039364	77.833384191	0.159281389	0.792929077	0.002039179	77.830191413	0.159282102	0.592792109	0.002142568	169.029648241	0.219415733
821937666.666667000	0.585051975	0.002329189	162.543022852	0.237502156	0.799134004	0.002071546	73.749165195	0.160916014	0.799081408	0.002071408	73.744324310	0.160915047	0.584143555	0.002152188	165.055120240	0.223916640
836103833.333333000	0.572962652	0.002315125	158.394707093	0.240900255	0.807342579	0.002055780	69.580287740	0.158312528	0.807281440	0.002055612	69.574260247	0.158312910	0.572169476	0.002138754	161.029450497	0.227074529
850270000.000000000	0.557643412	0.002269213	154.118271221	0.242190350	0.817563354	0.002031073	65.322402846	0.154907904	0.817506197	0.002030979	65.316045814	0.154909974	0.556970370	0.002086985	156.916671094	0.227265186
864436166.666667000	0.539133232	0.002231993	149.696602818	0.245963714	0.829463937	0.002049956	60.958732078	0.154593260	0.829421035	0.002049895	60.953897017	0.154596870	0.538486217	0.002056704	152.714126542	0.231253530
878602333.333333000	0.516885075	0.002231777	145.144541438	0.256390936	0.842962052	0.002078060	56.456949116	0.154729435	0.842906658	0.002077965	56.451226970	0.154731539	0.516292219	0.002072871	148.436401720	0.242779562
892768500.000000000	0.490422916	0.002242336	140.437832785	0.271457914	0.857912411	0.002087773	51.792012074	0.153306543	0.857852348	0.002087670	51.786486018	0.153308983	0.489956902	0.002091079	144.048986323	0.257610488
906934666.666667000	0.459710327	0.002209346	135.522217822	0.284675251	0.874070312	0.002097522	46.958402219	0.151818582	0.874034010	0.002097465	46.954442942	0.151821631	0.459382093	0.002066934	139.517520076	0.270461948
921100833.333333000	0.424735204	0.002152642	130.397994451	0.298934166	0.890935684	0.002112360	41.949608064	0.150687898	0.890911137	0.002112313	41.947625591	0.150688589	0.424543101	0.002028035	134.876330665	0.285496805
935267000.000000000	0.385051358	0.002111219	125.071911139	0.322203969	0.907984082	0.002114050	36.748426181	0.148717193	0.907973859	0.002114005	36.743291580	0.148716021	0.385048795	0.002014102	130.172618017	0.310773450
949433166.666667000	0.340447342	0.002075073	119.500052361	0.356747359	0.924767350	0.002099276	31.341020572	0.145837830	0.924750386	0.002099234	31.337086097	0.145837385	0.340762535	0.002007804	125.437425196	0.347874930
963599333.333333000	0.291277225	0.002025655	113.617722805	0.404780893	0.940620492	0.002088048	25.739919903	0.143475543	0.940631212	0.002088088	25.737072152	0.143476719	0.292007152	0.001995025	120.764573478	0.400706276
977765500.000000000	0.238038524	0.001988021	107.382463972	0.483640313	0.954713984	0.002092604	19.968607141	0.142430117	0.954716522	0.002092623	19.965534738	0.142430793	0.239204776	0.001980274	116.397766451	0.481863767
991931666.666667000	0.180899460	0.001972285	100.681689056	0.629009237	0.966437831	0.002097033	14.042929704	0.141714740	0.966424532	0.002097007	14.040942087	0.141715032	0.182728671	0.001981753	112.853626818	0.627508731
1006097833.333330000	0.120638656	0.001960005	93.072336986	0.934938527	0.975092814	0.002093211	7.987239362	0.140868160	0.975096005	0.002093215	7.984772625	0.140868004	0.123722648	0.001983830	111.549715972	0.923622015
1020264000.000000000	0.058785445	0.001944880	82.011777145	1.896794472	0.980189023	0.002089546	1.848097248	0.140429558	0.980201370	0.002089574	1.846305702	0.140429676	0.065289947	0.001977180	118.978385782	1.737895864
1034430166.666670000	0.011057917	0.001946248	-32.923234118	10.084938533	0.981451479	0.002080580	-4.325304070	0.140006219	0.981447578	0.002067024	-4.325590248	0.139297044	0.030709147	0.001970810	-174.973189893	3.678046841
1048596333.333330000	0.069112225	0.001963933	-92.781986106	1.629925917	0.978748101	0.002087323	-10.485105457	0.141074251	0.978739216	0.002087304	-10.487787405	0.141074236	0.074652538	0.001968551	-124.720526461	1.513612326
1062762500.000000000	0.130392807	0.001990527	-102.702454164	0.878253703	0.972309439	0.002096278	-16.581894657	0.142602114	0.972312398	0.002096283	-16.585389648	0.142602222	0.133151886	0.001969703	-119.936146053	0.852843645
1076928666.666670000	0.189017628	0.002040479	-109.991251247	0.624419031	0.962584817	0.002102886	-22.582489777	0.144359837	0.962599739	0.002102922	-22.583522781	0.144359978	0.190668884	0.001980020	-121.849827398	0.603025652
1091094833.333330000	0.244483754	0.002076451	-116.501603777	0.493644611	0.950052228	0.002102379	-28.444622643	0.146034383	0.950066676	0.002102415	-28.443876909	0.146034631	0.245500480	0.001978734	-125.622895756	0.471776458
1105261000.000000000	0.296110132	0.002099857	-122.583843288	0.414038566	0.935459018	0.002118646	-34.135834601	0.148934298	0.935458271	0.002098445	-34.133524220	0.147860551	0.296674394	0.001963388	-130.041644826	0.391027562
1119427166.666670000	0.342980948	0.002132817	-128.310996301	0.365264156	0.919706430	0.002097892	-39.644334525	0.149969688	0.919706162	0.002097886	-39.642871808	0.149969500	0.343196686	0.001980880	-134.663931078	0.344595220
1133593333.333330000	0.384979754	0.002189565	-133.775491547	0.336519396	0.903287399	0.002092690	-44.959221595	0.152032423	0.903284823	0.002092677	-44.959496226	0.152031943	0.384929262	0.002011284	-139.351311040	0.315708795
1147759500.000000000	0.422617299	0.002222699	-139.033385316	0.313083305	0.886682094	0.002087170	-50.081840235	0.154189849	0.886660373	0.002087125	-50.082018069	0.154190264	0.422309640	0.002022869	-144.026899342	0.292559805
1161925666.666670000	0.455785465	0.002241218	-144.060463518	0.294244156	0.870650289	0.002089502	-55.021421958	0.156895680	0.870647962	0.002089511	-55.021022335	0.156896422	0.455276856	0.002030612	-148.591820241	0.275146850
1176091833.333330000	0.484204367	0.002289161	-148.846245007	0.284624791	0.855690808	0.002097521	-59.789686936	0.159969552	0.855675054	0.002097502	-59.787740512	0.159970636	0.483511639	0.002068239	-153.027147128	0.266394698
1190258000.000000000	0.508321547	0.002331357	-153.477288398	0.277572671	0.842012508	0.002092381	-64.404174574	0.161983948	0.842000122	0.002092373	-64.403167835	0.161985245	0.507465002	0.002095021	-157.408162489	0.259177137
1204424166.666670000	0.528819254	0.002305262	-157.971902432	0.264546687	0.829695260	0.002062264	-68.869903511	0.162068616	0.829686122	0.002062252	-68.867300542	0.162069400	0.527837533	0.002064689	-161.716255796	0.247436664
1218590333.333330000	0.545754472	0.002277869	-162.301107882	0.254260375	0.819199406	0.002039047	-73.219179389	0.162429884	0.819144584	0.002038903	-73.214275131	0.162429283	0.544716309	0.002048445	-165.892509659	0.239739947
1232756500.000000000	0.558924590	0.002320897	-166.497502572	0.253918098	0.810700090	0.002049242	-77.476047251	0.164858359	0.810647676	0.002049100	-77.473169784	0.164857530	0.557798709	0.002099769	-169.971771459	0.241093740
1246922666.666670000	0.568685730	0.002362399	-170.641624500	0.255073993	0.804103117	0.002043581	-81.648140022	0.165913801	0.804053450	0.002043448	-81.645785677	0.165913397	0.567410714	0.002136955	-174.037494047	0.242318848
1261088833.333330000	0.575808344	0.002333134	-174.743578052	0.249323692	0.799333632	0.002018535	-85.752883709	0.165169204	0.799289728	0.002018433	-85.748521419	0.165169779	0.574421957	0.002108103	-178.082483859	0.237333425
1275255000.000000000	0.580058576	0.002328747	-178.759773152	0.247547039	0.796630586	0.002038236	-89.826890931	0.167351910	0.796584016	0.002038118	-89.824200732	0.167351848	0.578660681	0.002113613	177.955461220	0.237003405
1289421166.666670000	0.580838736	0.002401150	177.287994472	0.255508962	0.796189207	0.002080837	-93.903550806	0.170989711	0.796133446	0.002080664	-93.901061372	0.170987892	0.579349670	0.002191625	174.033967892	0.245449191
1303587333.333330000	0.578392119	0.002403712	173.300201274	0.257089429	0.797857195	0.002061172	-97.981491679	0.169454741	0.797808073	0.002060992	-97.979574310	0.169451157	0.576683370	0.002191248	170.023190664	0.246839725
1317753500.000000000	0.573439782	0.002303246	169.262397024	0.248144455	0.801423337	0.002017835	-102.064715137	0.165943814	0.801366929	0.002017658	-102.063112054	0.165941548	0.571602027	0.002092745	165.919185732	0.238684534
1331919666.666670000	0.565747386	0.002233817	165.255388516	0.244099049	0.807004926	0.002043681	-106.211658838	0.167343303	0.806920574	0.002043444	-106.208637433	0.167342099	0.564016544	0.002087375	161.820898012	0.241493056
