%Frequency (Hz)	S1,1 Mag 	S1,1 u(Mag) 	S1,1 Phase (°)	S1,1 u(Phase) (°)	S2,1 Mag 	S2,1 u(Mag) 	S2,1 Phase (°)	S2,1 u(Phase) (°)	S1,2 Mag 	S1,2 u(Mag) 	S1,2 Phase (°)	S1,2 u(Phase) (°)	S2,2 Mag 	S2,2 u(Mag) 	S2,2 Phase (°)	S2,2 u(Phase) (°)
1275255000.000000000	0.520699534	0.002392904	172.660474861	0.275267377	0.713964228	0.002232314	-96.837904187	0.191737591	0.713646554	0.002230965	-96.813013856	0.191710996	0.518196021	0.002399929	171.712837796	0.277451718
1289421166.666670000	0.514920045	0.002436732	169.362238365	0.284352312	0.716269641	0.002258882	-101.208576106	0.193909122	0.715944497	0.002257533	-101.184871845	0.193884518	0.511962334	0.002437770	168.081574975	0.286137570
1303587333.333330000	0.505877229	0.002420585	165.992213219	0.287785001	0.719802629	0.002243823	-105.645433323	0.192010956	0.719452796	0.002242578	-105.623424474	0.191999796	0.502100923	0.002405500	164.288909769	0.287911150
1317753500.000000000	0.494973915	0.002326950	162.559572599	0.282047476	0.724406236	0.002218098	-110.121003702	0.189023317	0.724046299	0.002216942	-110.097936996	0.189019137	0.490863595	0.002313321	160.422395783	0.282600148
1331919666.666670000	0.481156338	0.002252996	159.242071558	0.280801138	0.730490462	0.002237743	-114.675743951	0.189710457	0.730120689	0.002236424	-114.652989520	0.189697156	0.477071132	0.002288113	156.704246663	0.287943973
1346085833.333330000	0.462909715	0.002294763	156.066443721	0.297757447	0.737640022	0.002260322	-119.371026311	0.190354215	0.737237379	0.002258864	-119.347512790	0.190338173	0.458104645	0.002289365	153.102732903	0.300082883
1360252000.000000000	0.441162816	0.002321741	152.809694235	0.316647138	0.745357093	0.002251634	-124.158856812	0.188064869	0.744909127	0.002268862	-124.133705504	0.189804202	0.434914774	0.002174570	149.326719005	0.299894180
1374418166.666670000	0.416918921	0.002205972	149.526420065	0.317188247	0.753898112	0.002238116	-129.048345978	0.185685970	0.753444562	0.002236684	-129.018273837	0.185679898	0.409567921	0.002124392	145.394917327	0.309801046
1388584333.333330000	0.389621942	0.002096553	146.651492243	0.321556530	0.762810454	0.002270009	-134.109737265	0.186805117	0.762354519	0.002268484	-134.076410735	0.186793726	0.381262455	0.002087239	141.787122455	0.326886742
1402750500.000000000	0.358232071	0.002096616	144.239049969	0.349150054	0.771365788	0.002281717	-139.323067894	0.186426507	0.770911638	0.002280258	-139.285611332	0.186418701	0.348260299	0.002072231	138.606553002	0.354722877
